"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","2013","0.0-0.0","1967","7391500","[object Object]","[object Object]","4","","",""
"","html-keyboard-response","1","2584","0.0-1.0","1967","7391500","[object Object]","[object Object]","4","566","Welcome to the experiment. Press any key to begin.","116"
