"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","1924","0.0-0.0","9555","9838653","[object Object]","[object Object]","4","","",""
"","html-keyboard-response","1","8192","0.0-1.0","9555","9838653","[object Object]","[object Object]","4","6249","Welcome to the experiment. Press any key to begin.","116"
