"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","20740","0.0-0.0","1718","1454967","[object Object]","[object Object]","3","","",""
"","html-keyboard-response","1","45183","0.0-1.0","1718","1454967","[object Object]","[object Object]","3","24420","Welcome to the experiment. Press any key to begin.","116"
