"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","3896","0.0-0.0","5434","6587343","[object Object]","[object Object]","3","","",""
"","html-keyboard-response","1","4297","0.0-1.0","5434","6587343","[object Object]","[object Object]","3","395","Welcome to the experiment. Press any key to begin.","116"
