"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses"
"true","fullscreen","0","2852","0.0-0.0","9319","2755669","[object Object]","[object Object]","4","","","",""
"","html-keyboard-response","1","5773","0.0-1.0","9319","2755669","[object Object]","[object Object]","4","2916","Welcome to the experiment. Press any key to begin.","32",""
"","survey-text","2","39850","0.0-2.0","9319","2755669","[object Object]","[object Object]","4","34071","","","{""Q0"":""A114INA2S32A8L""}"
