"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses"
"true","fullscreen","0","14041","0.0-0.0","5488","8796701","[object Object]","[object Object]","1","","","",""
"","html-keyboard-response","1","18622","0.0-1.0","5488","8796701","[object Object]","[object Object]","1","4570","Welcome to the experiment. Press any key to begin.","86",""
"","survey-text","2","23760","0.0-2.0","5488","8796701","[object Object]","[object Object]","1","5132","","","{""Q0"":""A3NDOGHRT2TGEH""}"
