"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","3561","0.0-0.0","4440","9362832","[object Object]","[object Object]","1","","",""
"","html-keyboard-response","1","5452","0.0-1.0","4440","9362832","[object Object]","[object Object]","1","1885","Welcome to the experiment. Press any key to begin.","116"
