"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","2152","0.0-0.0","1484","9189050","[object Object]","[object Object]","1","","",""
"","html-keyboard-response","1","5780","0.0-1.0","1484","9189050","[object Object]","[object Object]","1","3620","Welcome to the experiment. Press any key to begin.","116"
