"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press"
"true","fullscreen","0","17062","0.0-0.0","938","833659","[object Object]","[object Object]","3","","",""
"","html-keyboard-response","1","22235","0.0-1.0","938","833659","[object Object]","[object Object]","3","5168","Welcome to the experiment. Press any key to begin.","74"
